Book ID,Title,Author,Genre,Publishing year,Overview
1,The Scarlet Letter,Nathaniel Hawthrone,Classic,2008,"adulteress Hester Prynne must wear a scarlet A to mark her shame. Her lover, Arthur Dimmesdale, remains unidentified and is wracked with guilt, while her husband, Roger Chillingworth, seeks revenge. The Scarlet Letter's symbolism helps create a powerful drama in Puritan Boston: a kiss, evil, sin, nature, the scarlet letter, and the punishing scaffold. Nathaniel Hawthorne's masterpiece is a classic example of the human conflict between emotion and intellect."
2,The Odessy,Homer,Classic,1999,"The Odyssey is Homer's epic of Odysseus' 10-year struggle to return home after the Trojan War. While Odysseus battles mystical creatures and faces the wrath of the gods, his wife Penelope and his son Telemachus stave off suitors vying for Penelope's hand and Ithaca's throne long enough for Odysseus to return. The Odyssey ends as Odysseus wins a contest to prove his identity, slaughters the suitors, and retakes the throne of Ithaca."
3,Little Women,Louisia May Allacot,Classic,1868,"Louisa May Alcott's autobiographical account of her life with her three sisters in Concord, Massachusetts in the 1860s. With their father fighting in the American Civil War, sisters Jo, Meg, Amy and Beth are at home with their mother, a very outspoken women for her time. The story tells of how the sisters grow up, find love and find their place in the world."
4,The Prophet ,Khalil Gibran,Classic,1923,"The prophet, Al Mustafa, has lived in the city of Orphalese for 12 years and is about to board a ship which will carry him home. He is stopped by a group of people, with whom he discusses topics such as life and the human condition. The book is divided into chapters dealing with love, marriage, children, giving, eating and drinking, work, joy and sorrow, houses, clothes, buying and selling, crime and punishment, laws, freedom, reason and passion, pain, self-knowledge, teaching, friendship, talking, time, good and evil, prayer, pleasure, beauty, religion, and death."
5,New Hampshire,Robert Frost,Classic,1923,"New Hampshire is a volume of poems written by Robert Frost, for which he received the Pulitzer Prize. The titular poem is the longest, and it has cross-references to 14 of the following poems. These are the ""Notes"" in the book title. The ""Grace Notes"" are the 30 final poems. Contained in this collection are some of Frost's best known works, such as ""Fire and Ice"", ""Nothing Gold Can Stay"", and ""Stopping by Woods on a Snowy Evening"". (less)"
6,Animal Farm,George Orwell,Classic,1945,"Animal Farm†is an†allegorical†novella†by†George Orwell, first published in England on 17 August 1945.[1][2]†The book tells the story of a group of farm animals who rebel against their human farmer, hoping to create a society where the animals can be equal, free, and happy. Ultimately, however, the rebellion is betrayed, and the farm ends up in a state as bad as it was before, under the dictatorship of a pig named†Napoleon."
7,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",Classic,1947,"When Anne Frank was thirteen years old in 1942 she began keeping a diary. Written for herself alone, it described in explicit detail her thoughts and feelings during the two years that she was confined with seven other people in which she called the ìSecret Annex.î Eventually, they were all arrested, and Anne, her sister, and her mother perished in German concentration camps. After the war, Anneís father edited and published an abridged version of her diary which omitted comments about her growing sexual awareness, as well as her critical remarks about her mother and others who shared her hiding place."
8,Romeo and Juliet,"William Shakespeare, Robert Jackson",Classic,1595,"An age-old vendetta between two powerful families erupts into bloodshed. A group of masked Montagues risk further conflict by gatecrashing a Capulet party. A young lovesick Romeo Montague falls instantly in love with Juliet Capulet, who is due to marry her fatherís choice, the County Paris. With the help of Julietís nurse, the women arrange for the couple to marry the next day, but Romeoís attempt to halt a street fight leads to the death of Julietís own cousin, Tybalt, for which Romeo is banished. In a desperate attempt to be reunited with Romeo, Juliet follows the Friarís plot and fakes her own death. The message fails to reach Romeo, and believing Juliet dead, he takes his life in her tomb. Juliet wakes to find Romeoís corpse beside her and kills herself. The grieving family agree to end their feud."
9,Macbeth,William Shakespeare,Classic,1623,"Three witches tell the Scottish general Macbeth that he will be King of Scotland. Encouraged by his wife, Macbeth kills the king, becomes the new king, and kills more people out of paranoia. Civil war erupts to overthrow Macbeth, resulting in more death."
10,Hamlet,William Shakespeare,Classic,1609,"The ghost of the King of Denmark tells his son Hamlet to avenge his murder by killing the new king, Hamlet's uncle. Hamlet feigns madness, contemplates life and death, and seeks revenge. His uncle, fearing for his life, also devises plots to kill Hamlet. The play ends with a duel, during which the King, Queen, Hamlet's opponent and Hamlet himself are all killed.†"
11,Alice's Adventure in wonderland,Lewis Carroll ,Fiction,2008,"Alice's Adventures in Wonderland by Lewis Carroll is a story about Alice who falls down a rabbit hole and lands into a fantasy world that is full of weird, wonderful people and animals. It is classic children's book that is also popular with adults."
12,A Tale of Two Cities,Charles Dickens,Fiction,1994,"A Tale of Two Cities, by Charles Dickens, deals with the major themes of duality, revolution, and resurrection. It was the best of times, it was the worst of times in London and Paris, as economic and political unrest lead to the American and French Revolutions. The main characters in Dickens' A Tale of Two Cities ó Doctor Alexandre Manette, Charles Darnay, and Sydney Carton ó are all recalled to life, or resurrected, in different ways as turmoil erupts."
